,category,item,quantity,price,payment_method,card_type,shopping_mall,city,province_state,country,gender,age,days_since_last_purchase,tenure,discount_used,purchase_frequency,avg_purchase_value,recency,purchase_per_tenure,discount_ratio
9254,2,11,-0.4373157419554242,-0.75723218204462,6,2,40,27,4,3,0,57.0,1.3164340855385992,0.8214068336780322,-1.0118704488730614,-1.5309134071371884,0.3046461749504865,-0.22163529945377183,-1.0030575482486328,-0.6236283535923591
1561,1,4,-0.4373157419554242,-0.1255941670187871,6,2,8,7,15,3,2,18.0,1.2343660378580972,-0.5536778464559464,-1.0118704488730614,-0.9137948600955433,-0.4872693128350568,0.13534442321194226,-0.5698153550761679,-0.6236283535923591
1670,3,10,-0.4373157419554242,0.4631169926169407,3,1,40,27,4,3,1,50.0,-0.24476737963932277,0.4776356636445376,-1.0118704488730614,-0.9137948600955433,-1.2008496043461216,1.1024006031317604,-0.7584853424254671,-0.6236283535923591
6087,0,0,-1.3290688862364683,-0.8753832411659568,8,3,24,1,10,3,0,34.0,-0.8249693911479881,-1.5849913565564304,0.9882688056694595,0.18330477908960335,1.5229129012406737,-0.7183848606235221,1.8619311485370218,1.3765714150721344
6669,2,8,-0.4373157419554242,-1.0221522038806974,4,2,40,27,4,3,1,35.0,0.5778216564140811,1.165178003711527,0.9882688056694595,-1.4623446796881168,1.1394494807680249,0.6717583980112164,-0.9890819936301659,2.3936701642938814
5933,0,2,1.3461905466066642,-0.9391602834598274,7,3,37,23,26,3,0,30.0,-0.48524584493567746,-1.2412201865229358,0.9882688056694595,-1.4623446796881168,-1.0419330412946706,0.643426673990128,-0.7934242289716336,1.7198400222356782
8829,3,6,-0.4373157419554242,1.8347322291293477,4,2,37,23,26,3,2,36.0,0.21328683997278147,-1.5849913565564304,-1.0118704488730614,1.6232480555201083,-0.5598486971968945,1.5538194058677692,4.063081000945512,-0.6236283535923591
7945,0,2,1.3461905466066642,-0.5589509928617532,7,3,8,7,15,3,0,54.0,0.33734319111772637,-0.5536778464559464,-1.0118704488730614,-0.2966763130538983,0.8205634622420788,0.1240117336035069,-0.1924753803775694,-0.6236283535923591
3508,3,6,0.45443740232561997,0.9189593141404382,2,0,25,31,18,3,2,65.0,-1.1265217523926234,1.5089491737450216,0.9882688056694595,0.38901096143681835,0.7903103532866126,0.8436375237391528,-0.4821505124694227,-0.23305029095435287
2002,3,6,-0.4373157419554242,-0.8602566349808722,3,1,23,26,5,3,1,22.0,0.34306886886287763,-1.2412201865229358,0.9882688056694595,-1.1195010424427583,0.5632365540501093,0.14856589442178353,-0.44403536350996836,1.3094140725670653
5866,0,2,-1.3290688862364683,-0.8340916945526177,0,3,56,25,7,2,0,46.0,-0.07490560653316744,0.4776356636445376,-1.0118704488730614,1.5546793280710367,0.4876388780755451,-1.0017021008344063,0.18486459432102895,-0.6236283535923591
168,0,0,0.45443740232561997,-0.5957454403389862,1,0,28,43,2,3,0,49.0,-0.5367769446420392,1.165178003711527,-1.0118704488730614,1.486110600621965,-1.471232378583838,0.8587477765503999,-0.08765872073906984,-0.6236283535923591
2588,3,7,1.3461905466066642,-0.20858608743965693,3,1,15,47,8,2,2,31.0,-1.1532415818699961,0.8214068336780322,-1.0118704488730614,0.5947171437840334,1.0058023358696313,1.4782681418115333,-0.2809872262945246,-0.6236283535923591
